ID,Comentario,Veredicto
1,"Beautiful phone! Excellent, new as described and quality is tops! Shipping was phenomenally FAST, like 2 days to Boston - amazing! A value you can’t beat - from a 5-star seller! Thank you very much.😊",Humano (Detallado)
2,an A+++++++ seller. Item received in excellent packing and in time expected. Item is new and sealed in original packaging. Value: is slightly higher in price. Quality: original Appearance: perfect Will definitely deal with this seller again.,Humano (Detallado)
3,"Real Deal Ladies and gents….A++++ seller No import fees, deliver in 4 Days from Hong kong. Original and Sealed iphone pro-max 2 TB. Thanks Cr3768",Humano (Detallado)
4,"⭐️⭐️⭐️⭐️⭐️ Excellent seller. Fast shipping, item exactly as described, well packaged and great communication. Highly recommended!",Humano (Detallado)
5,Love this purchase. Fast shipping and arrived here within a few days. Everything is good. Definitely will save this seller for future purchase. Thank you!,Humano (Detallado)
6,thank you - as described- quickly arrived,Humano (Detallado)
7,Fast shipping and smooth transaction. Item was new as described. It works very well.,Humano (Detallado)
8,Item as described. Fast shipping. Perfect seller. Thanks so much,Humano (Detallado)
9,Great seller ! Fast Shipping !,Humano (Detallado)
10,"Once again SmartShop Hong Kong continued to be a fantastic seller to do business with. They answer questions rapidly, and my items have never been late. They will continue to to be my #1 go to for electronics. This is my third purchase from this company. Twice for gifts and once for myself.",Humano (Detallado)
11,Seller is excellent item as described honest highly recommended A+A+A+ will buy again thank your,Humano (Detallado)
12,"This seller has fantastic communication, and answered ALL my questions in a timely fashion. Their product is just as listed. I am a repeat customer and will be making another purchase! Both purchases arrived extremely quickly!",Humano (Detallado)
13,Excellent service!!!,Humano (Detallado)
14,"Exactly as described, exactly what I ordered and expected, and the fastest shipping I've ever had. The seller went above and beyond to make sure I didn't make a mistake and order the wrong item, which I can understand with how similar the new iPhone models are to one another, kept me informed as to what the status and next steps were, and I'm serious ... fastest shipping I've ever had. I really appreciate the communication and attention to detail. Strongly recommend doing business with!",Humano (Detallado)
15,"Super seller as usual. honest, authentic item, fast shipping good customer service.",Humano (Detallado)
16,Excellent service,Bot (Sospechoso)
17,"Excellent experience!! I was a bit nervous spending such a large amount of money on EBAY. Phone came exactly as described. My mind was absolutely blown with how fast this thing shipped 🔥🔥🔥🔥Ordered from Ohio, USA Sunday Morning; Received it from Hong Kong by 10am Tuesday Morning. I would 1000% go with this seller again.",Humano (Detallado)
18,"Fast delivery, with signature for delivery required.",Humano (Detallado)
19,Amazing experience! Super thoughtful and thorough. Fast FedEx 2-day air shipping. A+,Humano (Detallado)
20,"great quality, brand new, great value, thank you very much for great service.",Humano (Detallado)
